date	etime	name	nbcell	nbrun	nbvalid	success	time	output
2017-08-20 10:07:16.775069	9.206682600000024	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\check_matplotlib_backend.ipynb	8	8	8	True	2.4287212000000413	
2017-08-20 10:07:34.136047	17.359294699999964	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\compare_python_distribution.ipynb	8	8	8	True	9.329420799999982	
2017-08-20 10:07:44.375505	10.249192300000004	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_about_files.ipynb	12	12	12	True	2.8049650000000383	
2017-08-20 10:07:54.580387	10.202979300000036	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_completion.ipynb	8	8	8	True	1.9129748999999947	
2017-08-20 10:08:04.807931	10.224236200000064	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_documentation.ipynb	6	6	6	True	2.87683990000005	
2017-08-20 10:08:12.991653	8.177930199999992	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_pyquickhelper.ipynb	9	8	8	True	1.0009122999999818	
2017-08-20 10:08:21.163011	8.171056599999929	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_with_comments.ipynb	3	3	3	True	0.181493899999964	
2017-08-20 10:08:30.383211	9.219181500000104	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\exemple_of_fix_menu.ipynb	10	9	9	True	1.2923008999999863	
2017-08-20 10:08:44.707633	14.323128399999973	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\having_a_form_in_a_notebook.ipynb	14	11	11	True	6.09421210000005	
2017-08-20 10:08:52.957714	8.25170270000001	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\notebook_with_svg.ipynb	2	2	2	True	0.799107700000036	
2017-08-20 10:09:01.138814	8.181232399999999	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\simple_example.ipynb	8	8	8	True	0.9852518000000146	
2017-08-20 10:19:02.156972	11.298498000000107	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\check_matplotlib_backend.ipynb	8	8	8	True	2.176975000000084	
2017-08-20 10:19:18.473088	16.315801500000134	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\compare_python_distribution.ipynb	8	8	8	True	8.835589400000117	
2017-08-20 10:19:27.758726	9.274678999999876	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_about_files.ipynb	12	12	12	True	2.661187700000028	
2017-08-20 10:19:35.957747	8.197849199999839	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_completion.ipynb	8	8	8	True	1.0230454000000009	
2017-08-20 10:19:46.201032	10.24497180000003	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_documentation.ipynb	6	6	6	True	2.8357315000000654	
2017-08-20 10:19:54.466737	8.26293069999997	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_pyquickhelper.ipynb	9	8	8	True	1.0012348000000202	
2017-08-20 10:20:01.671286	7.210604599999898	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_with_comments.ipynb	3	3	3	True	0.18185829999993075	
2017-08-20 10:20:11.085253	9.410896800000046	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\exemple_of_fix_menu.ipynb	10	9	9	True	1.062084499999855	
2017-08-20 10:20:24.392890	13.30588130000001	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\having_a_form_in_a_notebook.ipynb	14	11	11	True	6.011933499999943	
2017-08-20 10:20:32.650593	8.257308199999898	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\notebook_with_svg.ipynb	2	2	2	True	0.8201550999999654	
2017-08-20 10:20:40.867220	8.220250899999883	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\simple_example.ipynb	8	8	8	True	0.9945830999999998	
2017-08-20 12:08:50.547304	9.231459999999998	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_about_files.ipynb	12	12	12	True	2.0384769000000063	
2017-08-20 12:14:36.278662	9.2514008	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\check_matplotlib_backend.ipynb	8	8	8	True	2.126002000000028	
2017-08-20 12:14:52.612741	16.331263300000046	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\compare_python_distribution.ipynb	8	8	8	True	9.029458699999964	
2017-08-20 12:15:02.894246	10.276621500000033	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_about_files.ipynb	12	12	12	True	2.9346109000000524	
2017-08-20 12:15:11.099165	8.211556500000029	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_completion.ipynb	8	8	8	True	1.0482955999999604	
2017-08-20 12:15:21.310063	10.212414499999909	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_documentation.ipynb	6	6	6	True	2.8643071000000178	
2017-08-20 12:15:29.502980	8.182941899999946	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_pyquickhelper.ipynb	9	8	8	True	1.025839000000019	
2017-08-20 12:15:36.707055	7.203101800000013	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_with_comments.ipynb	3	3	3	True	0.15592119999996612	
2017-08-20 12:15:44.899624	8.198856700000077	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\exemple_of_fix_menu.ipynb	10	9	9	True	1.0266996999999949	
2017-08-20 12:15:58.172389	13.261752499999945	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\having_a_form_in_a_notebook.ipynb	14	11	11	True	5.8887062000000014	
